DB 0 MOTIF	POL005.1	DPE
-545.0	0	13
-544.0	1	13.5
-543.0	0	12
-542.0	0	12
-541.0	0	12
-540.0	0	9
-539.0	0	15
-538.0	0	6.5
-537.0	0	10.5
-536.0	0	5.5
-535.0	0	12.5
-534.0	0	15
-533.0	0	11.5
-532.0	0	6
-531.0	2	10
-530.0	1	6.5
-529.0	0	15
-528.0	0	7
-527.0	0	8.5
-526.0	0	10
-525.0	0	11
-524.0	0	9
-523.0	0	10
-522.0	0	13
-521.0	0	16
-520.0	1	13
-519.0	0	12.5
-518.0	1	10
-517.0	0	10.5
-516.0	0	9
-515.0	1	9.5
-514.0	0	11
-513.0	0	10.5
-512.0	0	14
-511.0	0	11
-510.0	0	21
-509.0	0	13
-508.0	0	11.5
-507.0	1	7.5
-506.0	0	8
-505.0	0	10
-504.0	0	13.5
-503.0	0	12
-502.0	0	5
-501.0	0	10
-500.0	0	9
-499.0	0	9
-498.0	0	7.5
-497.0	0	11.5
-496.0	0	11.5
-495.0	0	11
-494.0	0	11.5
-493.0	1	11
-492.0	0	8
-491.0	0	10
-490.0	0	5
-489.0	0	18
-488.0	2	13.5
-487.0	0	10.5
-486.0	0	17
-485.0	0	9.5
-484.0	0	10
-483.0	0	13
-482.0	0	9
-481.0	1	8
-480.0	1	11
-479.0	1	8
-478.0	0	8.5
-477.0	0	17
-476.0	0	12
-475.0	0	8
-474.0	1	4
-473.0	0	11
-472.0	0	9
-471.0	0	11
-470.0	0	6
-469.0	0	6
-468.0	0	11
-467.0	1	14
-466.0	0	15
-465.0	0	14.5
-464.0	1	12.5
-463.0	0	8
-462.0	1	3
-461.0	0	14
-460.0	0	13
-459.0	0	16
-458.0	0	9
-457.0	0	11
-456.0	0	8
-455.0	0	13.5
-454.0	0	14
-453.0	0	11
-452.0	0	4.5
-451.0	0	11
-450.0	0	10
-449.0	2	8
-448.0	1	11.5
-447.0	0	6
-446.0	0	5.5
-445.0	0	12
-444.0	1	15.5
-443.0	0	11.5
-442.0	1	11.5
-441.0	0	9.5
-440.0	0	7
-439.0	0	12
-438.0	0	5
-437.0	0	4.5
-436.0	0	10.5
-435.0	0	8
-434.0	0	11.5
-433.0	0	6
-432.0	1	14
-431.0	0	15.5
-430.0	2	10
-429.0	2	7
-428.0	0	9
-427.0	0	15.5
-426.0	0	12
-425.0	0	11
-424.0	0	12
-423.0	0	15
-422.0	0	9.5
-421.0	0	6.5
-420.0	0	9
-419.0	0	8
-418.0	0	6.5
-417.0	0	12.5
-416.0	0	14
-415.0	2	14
-414.0	0	13.5
-413.0	0	9
-412.0	0	10
-411.0	0	6
-410.0	0	7.5
-409.0	1	15
-408.0	0	5
-407.0	0	17
-406.0	0	6
-405.0	0	8
-404.0	0	4
-403.0	1	13
-402.0	0	7
-401.0	0	10
-400.0	0	11
-399.0	0	15.5
-398.0	0	10.5
-397.0	1	7
-396.0	0	10.5
-395.0	0	6.5
-394.0	0	11
-393.0	0	5.5
-392.0	0	16
-391.0	0	5
-390.0	0	9
-389.0	0	6
-388.0	0	12
-387.0	1	10.5
-386.0	0	9.5
-385.0	1	10.5
-384.0	0	12.5
-383.0	0	12.5
-382.0	0	9
-381.0	0	9.5
-380.0	0	7
-379.0	0	18.5
-378.0	0	12
-377.0	0	8
-376.0	1	7
-375.0	0	10.5
-374.0	0	8
-373.0	1	20
-372.0	0	11
-371.0	0	8
-370.0	0	2
-369.0	1	9
-368.0	0	7
-367.0	0	12
-366.0	0	12
-365.0	0	14.5
-364.0	1	11
-363.0	0	10
-362.0	0	10.5
-361.0	0	14
-360.0	1	8
-359.0	0	12
-358.0	1	12
-357.0	0	6
-356.0	0	12
-355.0	0	10.5
-354.0	0	8
-353.0	0	6
-352.0	0	12
-351.0	0	4
-350.0	0	7
-349.0	1	6.5
-348.0	1	8.33333
-347.0	1	4
-346.0	0	12
-345.0	0	10.5
-344.0	0	10
-343.0	0	10.5
-342.0	0	6.5
-341.0	0	15
-340.0	1	10
-339.0	0	7
-338.0	0	13
-337.0	0	12
-336.0	0	13.5
-335.0	0	10
-334.0	0	11
-333.0	0	13
-332.0	1	10
-331.0	0	7
-330.0	0	8
-329.0	0	12
-328.0	0	9
-327.0	0	8
-326.0	0	6
-325.0	0	7.5
-324.0	1	10
-323.0	1	7
-322.0	0	8
-321.0	0	10
-320.0	0	5
-319.0	0	6.5
-318.0	1	12
-317.0	0	15.5
-316.0	0	9
-315.0	0	5
-314.0	0	6
-313.0	0	4
-312.0	0	11.5
-311.0	0	11
-310.0	1	6
-309.0	0	9
-308.0	0	9
-307.0	0	15
-306.0	0	7
-305.0	0	7
-304.0	1	9
-303.0	0	10
-302.0	0	3
-301.0	0	5
-300.0	1	11
-299.0	1	5
-298.0	2	11
-297.0	0	8.5
-296.0	0	9.5
-295.0	0	9
-294.0	1	9.33333
-293.0	1	13.3333
-292.0	0	12.5
-291.0	0	9.5
-290.0	0	10
-289.0	2	6.33333
-288.0	1	8
-287.0	0	6
-286.0	0	10
-285.0	0	9
-284.0	0	10
-283.0	0	11.5
-282.0	0	11
-281.0	0	10
-280.0	0	11
-279.0	0	9.5
-278.0	1	12.5
-277.0	0	8
-276.0	0	6
-275.0	0	14
